City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Jumla,NP,2021-04-30 20:24:56,29.2747,82.1838,48.31,87,73,3.94
211,Pacific Grove,US,2021-04-30 20:24:56,36.6177,-121.9166,60.8,67,20,11.5
212,Butaritari,KI,2021-04-30 20:24:57,3.0707,172.7902,82.65,75,74,11.23
213,Padang,ID,2021-04-30 20:21:25,-0.9492,100.3543,78.66,84,100,3.47
214,Itamaraca,BR,2021-04-30 20:24:57,-7.7478,-34.8256,78.8,78,40,6.91
215,Tasiilaq,GL,2021-04-30 20:24:03,65.6145,-37.6368,32.0,80,50,6.91
216,Christchurch,NZ,2021-04-30 20:20:03,-43.5333,172.6333,50.0,93,90,5.75
217,Cabedelo,BR,2021-04-30 20:24:57,-6.9811,-34.8339,80.6,78,20,10.36
218,Zhezkazgan,KZ,2021-04-30 20:24:58,47.8043,67.7144,48.79,38,2,8.72
219,Manado,ID,2021-04-30 20:24:58,1.487,124.8455,75.2,94,20,1.14
220,Anchorage,US,2021-04-30 20:21:00,61.2181,-149.9003,44.6,29,75,6.91
221,Jiutai,CN,2021-04-30 20:24:58,44.1525,125.8328,35.6,87,12,2.24
222,Gazojak,TM,2021-04-30 20:24:59,41.1875,61.4036,63.09,44,0,16.58
223,Raudeberg,NO,2021-04-30 20:24:59,61.9875,5.1352,41.0,75,15,17.92
224,Namatanai,PG,2021-04-30 20:24:59,-3.6667,152.4333,78.28,81,36,3.53
225,Kapaa,US,2021-04-30 20:20:00,22.0752,-159.319,78.8,65,20,14.97
226,Byron Bay,AU,2021-04-30 20:25:00,-28.65,153.6167,62.6,94,90,6.91
227,Plymouth,US,2021-04-30 20:22:06,41.8334,-70.8328,64.4,45,75,25.32
228,Lata,PT,2021-04-30 20:25:00,40.1629,-8.3327,52.0,73,4,5.01
229,Walvis Bay,NA,2021-04-30 20:24:55,-22.9575,14.5053,60.01,72,0,5.75
230,Pak Chong,TH,2021-04-30 20:21:10,14.708,101.4161,79.0,83,51,2.66
231,Bluff,NZ,2021-04-30 20:25:01,-46.6,168.3333,39.99,93,98,3.0
232,Ribeira Grande,PT,2021-04-30 20:25:01,38.5167,-28.7,60.8,77,75,8.05
233,Nanortalik,GL,2021-04-30 20:20:19,60.1432,-45.2371,42.01,64,10,5.35
234,Saint George,US,2021-04-30 20:25:02,37.1041,-113.5841,91.0,13,1,6.91
235,Maceio,BR,2021-04-30 20:25:03,-9.6658,-35.7353,80.6,78,40,16.11
236,Korla,CN,2021-04-30 20:25:03,41.7597,86.1469,71.24,19,0,1.61
237,North Bend,US,2021-04-30 20:25:03,43.4065,-124.2243,63.0,72,1,10.36
238,Namibe,AO,2021-04-30 20:25:04,-15.1961,12.1522,75.25,77,28,5.46
239,Ilulissat,GL,2021-04-30 20:21:10,69.2167,-51.1,39.2,60,20,4.61
240,Estelle,US,2021-04-30 20:25:04,29.8458,-90.1067,82.99,74,90,8.05
241,Arlit,NE,2021-04-30 20:25:05,18.7369,7.3853,92.26,5,0,9.84
242,Mana,GF,2021-04-30 20:25:05,5.6592,-53.7767,76.23,90,100,8.52
243,Cherskiy,RU,2021-04-30 20:25:05,68.75,161.3,7.9,96,98,1.77
244,Huarmey,PE,2021-04-30 20:25:05,-10.0681,-78.1522,72.43,74,45,10.18
245,Ulladulla,AU,2021-04-30 20:25:06,-35.35,150.4667,54.0,100,3,5.75
246,Salinopolis,BR,2021-04-30 20:25:06,-0.6136,-47.3561,76.24,89,100,0.6
247,Catamarca,AR,2021-04-30 20:25:06,-28.4696,-65.7852,75.99,57,20,4.0
248,Yalta,UA,2021-04-30 20:25:07,44.5,34.1667,52.0,80,46,2.8
249,Amahai,ID,2021-04-30 20:22:10,-3.3333,128.9167,78.35,81,98,2.04
